,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,,,,,,,,,,,,,,,,
10,0,alabama,10,"From the American Civil War until World War II, Alabama, like many states in the southern US, suffered economic hardship, in part because of its continued dependence on agriculture.",0.13,0.031028744380456,0.025359126756666,0.045095925335772,0.013283966813469,0.071922036889009,0.021290302183479,0.035710832569748,0.030869235447608,0.057962608919479,0.66747719347477,,,,,,,,,,,,,,,,
11,0,alabama,11,"Similar to other former slave states, Alabamian legislators employed Jim Crow laws to disenfranchise and otherwise discriminate against African Americans from the end of the Reconstruction Era up until at least the 1970s.",0.14,0.03344717042055,0.02732228897512,0.055786976171658,0.045582028350327,0.039022954908433,0.099299664748833,0.061159721855074,0.03287738035433,0.023324251407757,0.582177549600601,,,,,,,,,,,,,,,,
12,0,alabama,12,"Despite the growth of major industries and urban centers, white rural interests dominated the state legislature from 1901 to the 1960s.",0.14,0.07032183855772,0.043717335816473,0.148368579894304,0.140196482185274,0.09376207953319,0.180131178349257,0.042748970701359,0.084350157761946,0.078129547717981,0.118273822357878,,,,,,,,,,,,,,,,
13,0,alabama,13,"During this time, urban interests and African Americans were markedly under-represented.",0.16,0.108549365372164,0.105722953798249,0.251749640516937,0.066168470820412,0.123550320707727,0.094990802602843,0.045012308668811,0.063892353163101,0.073776010842994,0.066587776807137,,,,,,,,,,,,,,,,
14,0,alabama,14,"Following World War II, Alabama grew as the state's economy changed from one primarily based on agriculture to one with diversified interests.",0.16,0.039167330088094,0.034308811428491,0.050385312968865,0.027698234736454,0.219583986885846,0.045425598369911,0.03526465051109,0.061025074915961,0.127255841903388,0.359885169193149,,,,,,,,,,,,,,,,
15,0,alabama,15,"The state's economy in the 21st century is based on management, automotive, finance, manufacturing, aerospace, mineral extraction, healthcare, education, retail, and technology.",0.16,0.025652511158842,0.016060875437688,0.013440886558965,0.02386996820569,0.783616164326668,0.030436405405635,0.024969674949534,0.012245858868118,0.057850639469689,0.011857032618718,,,,,,,,,,,,,,,,
16,0,alabama,16,"The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river.",0.19,0.020225586288143,0.018668647308368,0.143232571613044,0.020995631156257,0.019809339847416,0.030594169569668,0.035423255502246,0.562110917270184,0.029882838809863,0.119057028228417,,,,,,,,,,,,,,,,
17,0,alabama,17,"In the Alabama language, the word for a person of Alabama lineage is Albaamo (or variously Albaama or Albàamo in different dialects; the plural form is Albaamaha).",0.2,0.079467118903995,0.079509043635335,0.277885288000107,0.057789058727212,0.096825592959067,0.073447710555047,0.068865813710727,0.093137270677835,0.093611826351844,0.079461276199436,,,,,,,,,,,,,,,,
18,0,alabama,18,"The suggestion that ""Alabama"" was borrowed from the Choctaw language is unlikely.",0.16,0.045419328089338,0.099876971542835,0.22972652669996,0.037791977159213,0.06347626245115,0.086376690771431,0.090745880687609,0.206317264214158,0.055583937047049,0.084685154817998,,,,,,,,,,,,,,,,
19,0,alabama,19,The word's spelling varies significantly among historical sources.,0.16,0.055270971276332,0.631289102137089,0.055558227968868,0.04591075865319,0.032666575885378,0.073290875850944,0.026618075568695,0.03310302211903,0.024406321998686,0.021886071551126,,,,,,,,,,,,,,,,
